# version=2022
# comment
! line Astrometry of 2025-010D (Falcon 9 second stage; lunar impact 2026-08-05).
! line Converted from find_orb-extended MPC 80-column records published by
! line Project Pluto (Bill Gray). Source pages, retrieved 2026-08-06:
! line   https://www.projectpluto.com/pluto/mpecs/25010d.htm (323 observations)
! line   https://www.projectpluto.com/pluto/mpecs/25010d_new.htm (74 observations)
! line   https://projectpluto.com/temp/a11hsi1.htm (5 observations)
! line These pseudo-MPEC pages are placed in the public domain by Project Pluto.
! line Conversion: fixed-column parse of the 80-column records; times expanded
! line with exact decimal arithmetic to ISO-8601 UTC at the source precision;
! line sexagesimal RA/Dec converted to decimal degrees at 7 decimal places;
! line find_orb decimal-degree coordinates copied digit-for-digit. The seven
! line source designation variants are unified to trkSub 25010D. Magnitudes
! line flagged unusable by find_orb (column 65 'x') are omitted. The astrometric
! line catalog code (column 72) is not carried over. Observatory and observer
! line names are transcribed from the station tables on the same pages.
# observatory
! mpcCode ScT
! name Roberts Creek 1, British Columbia, Canada (private station, non-MPC code)
# observers
! name S. Tilley
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CCD |ScT |2025-01-19T10:58:00Z   |167.0583333|8.0500000  |     |    |NEOCP discovery tracklet A11hSI1
# observatory
! mpcCode W68
! name ATLAS Chile, Rio Hurtado, Chile
# observers
! name L. Denneau
! name R. Siverd
! name J. Tonry
! name H. Weiland
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CCD |W68 |2025-01-20T07:42:39.5424Z|169.2695000|7.5849500  |14.05|o   |NEOCP discovery tracklet A11hSI1
25010D  |CCD |W68 |2025-01-20T07:47:14.8128Z|169.2613208|7.5788389  |13.95|o   |NEOCP discovery tracklet A11hSI1
25010D  |CCD |W68 |2025-01-20T08:07:48.3456Z|169.2241417|7.5509806  |13.76|o   |NEOCP discovery tracklet A11hSI1
25010D  |CCD |W68 |2025-01-20T08:32:56.9760Z|169.1791083|7.5156389  |14.01|o   |NEOCP discovery tracklet A11hSI1
# observatory
! mpcCode P13
! name Baihuashan Observatory, Beijing, China
# observers
! name Z. Wang
! name B. Liu
trkSub  |mode|stn |obsTime                |ra         |dec        |mag  |band|remarks
25010D  |CMO |P13 |2025-12-21T21:04:16.9Z |184.57651  |17.54490   |     |G   |
25010D  |CMO |P13 |2025-12-21T21:05:04.8Z |184.58048  |17.54232   |     |G   |
25010D  |CMO |P13 |2025-12-21T21:08:32.5Z |184.59688  |17.53267   |     |G   |
25010D  |CMO |P13 |2025-12-21T21:15:11.9Z |184.62867  |17.51398   |     |G   |
